experiment,run,total_metrics,file_size_mb,charts/episodic_return_final_value,charts/episodic_return_max_value,charts/episodic_return_min_value,charts/episodic_return_mean_value,charts/episodic_return_total_steps,charts/episodic_return_data_points,losses/value_loss_final_value,losses/value_loss_max_value,losses/value_loss_min_value,losses/value_loss_mean_value,losses/value_loss_total_steps,losses/value_loss_data_points,losses/policy_loss_final_value,losses/policy_loss_max_value,losses/policy_loss_min_value,losses/policy_loss_mean_value,losses/policy_loss_total_steps,losses/policy_loss_data_points,evaluation/time_step_till_impact_avg_final_value,evaluation/time_step_till_impact_avg_mean_value,evaluation/time_step_till_impact_avg_std_value,evaluation/time_step_till_impact_avg_data_points,evaluation/steps_delayed_avg_final_value,evaluation/steps_delayed_avg_mean_value,evaluation/steps_delayed_avg_std_value,evaluation/steps_delayed_avg_data_points
Phase1_Validation_HPC,run_0,17,0.011820793151855469,-97.0,180.5,-464.5,-205.5,1000,10,1513.7802734375,38118.23828125,1513.7802734375,8276.658618164063,1000,10,-0.0014083958230912685,0.0010324334725737572,-0.0027035188395529985,-0.0009620457816026829,1000,10,22.100000381469727,25.900000190734865,3.3893953478423042,10,2.799999952316284,2.9499999642372132,1.2387493018640152,10
Phase1_Validation_HPC,run_1,17,0.011820793151855469,722.0,722.0,-483.0,-138.1,1000,10,51445.7109375,51445.7109375,2328.53369140625,10214.179638671874,1000,10,-5.374431566451676e-05,9.443760063732043e-05,-0.004625177476555109,-0.001237727294665092,1000,10,28.299999237060547,27.200000190734862,3.5810611023940697,10,2.5999999046325684,3.1500000238418577,0.7645259804137694,10
Phase2_Blue_HighDecoy_HPC,main,17,3.8823022842407227,-246.75,-192.4375,-344.0,-250.67282,5000000,6250,13754.8759765625,26285.822265625,387.2230224609375,6184.80082918457,5000000,6250,-3.5762786065873797e-09,0.01662123017013073,-0.018649645149707794,-0.0006579174300782246,5000000,6250,0.0,0.0,0.0,10,0.5,0.46000000461935997,0.25768197397935644,10
Phase2_Blue_Medium_HPC,main,17,7.7864179611206055,-259.3125,-185.4375,-346.625,-251.7102375,10000000,10000,13888.4326171875,48968.26953125,308.80987548828125,8663.416460836792,10000000,10000,-3.3974647095647015e-08,0.016246415674686432,-0.01949545554816723,-0.00048455969236738046,10000000,10000,0.0,0.8400000095367431,1.7089178088598513,10,0.4000000059604645,0.4,0.34058771533066773,10
Phase2_Blue_Small_HPC,main,17,1.5408554077148438,-80.25,752.375,-403.375,71.01875,1000000,2500,11482.8134765625,60544.9140625,1126.8570556640625,14101.14987294922,1000000,2500,-1.325607286162267e-06,0.007784430868923664,-0.015548343770205975,-0.0009598107542750143,1000000,2500,23.799999237060547,26.41999969482422,2.9761720862318244,10,6.400000095367432,5.250000071525574,1.1038569268332585,10
Phase2_Blue_PerfectDetection_HPC,main,17,3.8823022842407227,255.875,714.375,-347.9375,195.78771,5000000,6250,16663.259765625,36724.8359375,1934.3369140625,16160.260457578124,5000000,6250,-1.23977656585339e-07,0.006288392934948206,-0.012451903894543648,-0.0006068474640557087,5000000,6250,20.399999618530273,25.789999961853027,3.7111859124298365,10,4.199999809265137,5.919999980926514,0.9703608219320361,10
Phase2_Blue_HighDecoy,main,17,2.0736894607543945,372.1333312988281,402.0333251953125,-398.6000061035156,340.34919510208164,4999500,3333,4341.04052734375,30663.736328125,555.0614013671875,6828.280638806068,4999500,3333,8.138020746173424e-08,0.006757652387022972,-0.01741715520620346,-0.0010119116081185981,4999500,3333,0.0,0.0,0.0,11,0.6000000238418579,0.2636363675648516,0.2637930602999662,11
Phase2_Blue_LowDecoy,run_2,17,2.0736780166625977,398.0,510.1000061035156,-549.066650390625,416.6005299876232,4999500,3333,1465.357177734375,10452.732421875,191.19142150878906,1744.0611987819266,4999500,3333,7.883707553446584e-08,0.003850961569696665,-0.02594682015478611,-0.0005530423449816414,4999500,3333,22.5,26.900000138716265,5.425696360814558,11,0.0,0.32727271860296075,1.0349272068207152,11
Phase2_Blue_Small,main,17,1.2339563369750977,670.2999877929688,959.5,43.20000076293945,636.586549402237,1000000,2000,7152.1845703125,15023.4765625,1651.864501953125,6283.331538635254,1000000,2000,-5.5961609177757055e-06,0.010956140235066414,-0.025334075093269348,-0.0013371803199218276,1000000,2000,31.5,24.65,5.247332657194425,10,10.100000381469727,9.090000200271607,2.2169574811469075,10
